Name,Team
Bill Orridge,East Midlands Archers
Mikey Orridge,East Midlands Archers
Dan Trick,East Midlands Archers
Brandon Edward,East Midlands Archers
Liza Niedermaier-Reed,East Midlands Archers
Emily Cowley,East Midlands Archers
Tommy Ruler,East Midlands Archers
Jamie Holland,East Midlands Archers
Emily Arnold,East Midlands Archers
Hannah Ridley,Eastern Mermaids
Jay Holmes,Eastern Mermaids
Mat Croft,Eastern Mermaids
Dominic Ayre,Eastern Mermaids
Fabian Brunt,Eastern Mermaids
Jurgis Vaivods,Eastern Mermaids
Tom Hutton,Eastern Mermaids
Tom Challinor,Eastern Mermaids
Annabel Wright,Eastern Mermaids
